Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^24.525000,0.003552,0.168582,0.118446,0.298935,10,9
36.755,0.141808,9.226309,12.337381,1.049421,28,0,,,,,,
36.863,0.137206,8.787128,11.827595,0.937537,22,0,,,,,,
37.003,0.123509,7.910469,10.791135,0.90546,22,0,,,,,,
37.111,0.118615,7.467232,10.536792,0.906805,22,0,,,,,,
37.243,0.105832,6.687833,10.384461,0.90903,22,0,,,,,,
37.347,0.098806,6.268883,10.361781,0.909814,22,0,,,,,,
37.479,0.087205,5.505641,9.730494,0.977659,-14,0,,,,,,
37.583,0.082186,5.299331,6.468824,0.983251,-14,0,,,,,,
37.715,0.095014,5.414078,1.82598,0.926446,22,0,,,,,,
37.823,0.098117,5.885905,1.518806,0.900957,28,0,,,,,,
37.954,0.105127,6.610099,6.267442,1.032818,28,0,,,,,,
38.062,0.099976,6.354151,10.384814,1.05822,28,0,,,,,,
38.194,0.083335,5.454354,10.866634,1.013211,-14,0,,,,,,
38.302,0.075939,5.131114,7.870546,0.985956,-14,0,,,,,,
38.434,0.086314,5.085109,2.284164,0.994808,-14,0,,,,,,
38.534,0.095648,5.763414,-2.00883,1.011728,28,0,,,,,,
38.67,0.109541,7.508024,-1.954014,0.997368,28,0,,,,,,
38.774,0.12416,8.302198,0.822891,1.006136,28,0,,,,,,
38.91,0.13375,8.529752,7.039446,1.050522,28,0,,,,,,
39.01,0.134924,8.385924,9.270653,1.029608,14,0,,,,,,
39.146,0.141816,8.51568,8.092267,1.000169,14,0,,,,,,
39.254,0.142252,8.278815,7.657175,1.000946,14,0,,,,,,
39.385,0.136004,7.765685,7.374249,1.003098,14,0,,,,,,
39.489,0.136632,7.460174,7.2705,1.004093,14,0,,,,,,
39.633,0.13869,6.858883,7.204818,1.004733,14,0,,,,,,
39.769,0.141413,6.443807,7.135183,1.005285,14,0,,,,,,
39.878,0.133394,5.668625,7.091308,1.005526,14,0,,,,,,
40.013,0.130507,5.115432,7.048146,1.005724,14,0,,,,,,
40.116,0.12981,4.314871,7.028803,1.005771,-14,0,,,,,,
40.249,0.12646,3.818429,5.203431,0.994198,-14,0,,,,,,
40.354,0.125667,3.636992,2.181101,0.995313,14,0,,,,,,
40.488,0.12671,3.480586,3.638883,1.008854,14,0,,,,,,
40.592,0.120563,2.95011,5.556857,1.011693,14,0,,,,,,
40.72,0.115221,2.450281,6.187162,1.009075,-14,0,,,,,,
40.829,0.117661,1.850681,3.494113,0.995343,-14,0,,,,,,
40.964,0.118714,1.772011,-0.300521,1.008079,-14,0,,,,,,
